package-relative-path,original-absolute-path,description,size-bytes,sha256
critical-evidence/incident-bundle/rehearsal-v2-run.log,C:\Users\seanm\AppData\Local\Temp\astra-1098-isolation-incident-78a8f2c8606a413dbea66a7188d1e356\rehearsal-v2-run.log,Astra-retained v1 rehearsal execution log (hollow drills),3330,941408bc9aa386db4397c4582fd2f5d54dc52ef4eb1b73dbafe4c4c9bd933977
packets/39-implementation-v5-packet.md,C:\Sean Project\RMT-1040-glm-evidence\39-implementation-v5-packet.md,Packet: v5 candidate (regressions actually committed),0,written-document
packets/40-implementation-v6-packet.md,C:\Sean Project\RMT-1040-glm-evidence\40-implementation-v6-packet.md,Packet: v6 candidate (fixture normalization) — Astra PASS for implementation/local qualification,0,written-document
packets/41-qualification-failure-report.md,C:\Sean Project\RMT-1040-glm-evidence\41-qualification-failure-report.md,Packet: exact-head qualification FAILURE report,0,written-document
packets/46-amendments-v2-packet.md,C:\Sean Project\RMT-1040-glm-evidence\46-amendments-v2-packet.md,Packet: amendments (rehearsal executed; proposal v3; accounting),0,written-document
diagnostics/playwright-diagnostics-1-1.zip,C:\Sean Project\RMT-1040-glm-evidence\ci-gate-36064279956\playwright-diagnostics-1-1.zip,Copy of failed-journey diagnostics (context/screens/traces, both attempts),0,copied-artifact
diagnostics/geometry-probe.mjs,C:\Sean Project\RMT-1040-glm-evidence\dt1046-local\geometry-probe.mjs,Standalone geometry probe source (disposable-state reproduction),0,copied-artifact
diagnostics/geometry-sample.json,C:\Sean Project\RMT-1040-glm-evidence\dt1046-local\geometry-run1.json,Sample final geometry (one of five retained runs),0,copied-artifact
referenced-artifact,R:\Sean Project\RMT-1040-glm-evidence\ci-gate-36064279956\playwright-diagnostics-1.zip,Shard-1 diagnostics (original retained outside package),4474748,referenced-not-copied
referenced-artifact,C:\Sean Project\RMT-1040-glm-evidence\probe-matcher-extract\,Prototype dir: caller_model.py/test-caller-model.py (32/32 POSIX) + probe logs,referenced-not-copied,referenced-not-copied
referenced-artifact,C:\Sean Project\RMT-1040-glm-evidence\trx-required-pg-c4\,Required PostgreSQL TRXs at merged head,referenced-not-copied,referenced-not-copied
referenced-artifact,C:\Sean Project\RMT-1040-glm-evidence\trx-required-pg-final3\,Earlier required PostgreSQL TRXs at e0509c0c,referenced-not-copied,referenced-not-copied
